时间,设备编号,顶板离层速率,锚杆轴力增量,锚索轴力增量,支架阻力,涌水量,微震能量,距水体/岩溶体距离,数据质量,风险等级
2025/12/27 22:28,监测1,0,0,0,0.48,7.72,67.46,124.6,正常,低风险
2025/12/27 22:26,监测1,0,0,0,0.48,5.33,75.17,124.59,正常,低风险
2025/12/27 22:23,监测1,0.12,0.2,0.2,0.5,11.91,116.64,124.57,正常,低风险
2025/12/27 22:20,监测1,0,0,0,0.48,11.14,55.72,124.56,正常,低风险
2025/12/27 22:17,监测1,0,0,0,0.5,7.55,49.23,124.55,正常,低风险
2025/12/27 22:15,监测1,0,0,0,0.48,11.7,56.36,124.54,正常,低风险
2025/12/27 22:12,监测1,0,0,0,0.48,8.8,18.98,124.52,正常,低风险
2025/12/27 22:09,监测1,0,0,0,0.48,6.93,21.77,124.51,正常,低风险
2025/12/27 22:06,监测1,0,0,0,0.48,7.6,25.14,124.5,正常,低风险
2025/12/27 22:04,监测1,0,0,0,0.48,8.64,57.67,124.49,正常,低风险
2025/12/27 22:01,监测1,0,0,0,0.48,7.1,46.57,124.47,正常,低风险
2025/12/27 21:58,监测1,0,0,0,0.48,8.08,35.47,124.46,正常,低风险
2025/12/27 21:55,监测1,0,0,0,0.48,7.02,58.61,124.45,正常,低风险
2025/12/27 21:53,监测1,0,0,0,0.49,7.88,19.35,124.44,正常,低风险
2025/12/27 21:50,监测1,0,0,0,0.48,5.59,66.87,124.42,正常,低风险
2025/12/27 21:47,监测1,0,0,0,0.48,8.91,41.42,124.41,正常,低风险
2025/12/27 21:44,监测1,0,0,0,0.49,6.94,27.31,124.4,正常,低风险
2025/12/27 21:42,监测1,0,0,0,0.48,7.65,58.67,124.39,正常,低风险
2025/12/27 21:38,监测1,0,0,0,0.48,10.91,21.96,124.37,正常,低风险
2025/12/27 21:35,监测1,0,0,0,0.49,8.65,57.38,124.36,正常,低风险
2025/12/27 21:32,监测1,0,0,0,0.48,8.16,34.37,124.35,正常,低风险
2025/12/27 21:29,监测1,0,0,0,0.49,6.3,41.39,124.34,正常,低风险
2025/12/27 21:27,监测1,0,0,0,0.49,5.45,60.11,124.32,正常,低风险
2025/12/27 21:24,监测1,0,0,0,0.49,10.36,66.45,124.31,正常,低风险
2025/12/27 21:21,监测1,0,0,0,0.5,7.95,35.76,124.3,正常,低风险
2025/12/27 21:18,监测1,0,0,0,0.5,11.65,50.33,124.29,正常,低风险
2025/12/27 21:16,监测1,0,0,0,0.48,5.69,43.62,124.27,正常,低风险
2025/12/27 21:13,监测1,0,0,0,0.5,10.5,76.15,124.26,正常,低风险
2025/12/27 21:10,监测1,0,0,0,0.48,7.96,41.47,124.25,正常,低风险
2025/12/27 21:07,监测1,0,0,0,0.49,11.46,48.29,124.24,正常,低风险
2025/12/27 21:05,监测1,0,0,0,0.48,10.16,27.02,124.22,正常,低风险
2025/12/27 21:02,监测1,0,0,0,0.48,5.48,57.47,124.21,正常,低风险
2025/12/27 20:59,监测1,0.13,0.22,0.22,0.5,9,163.09,124.2,正常,低风险
2025/12/27 20:57,监测1,0,0,0,0.49,8.25,69.18,124.19,正常,低风险
2025/12/27 20:54,监测1,0,0,0,0.48,10.23,60.69,124.17,正常,低风险
2025/12/27 20:51,监测1,0,0,0,0.48,9.68,48.52,124.16,正常,低风险
2025/12/27 20:48,监测1,0,0,0,0.48,7.8,19.51,124.15,正常,低风险
2025/12/27 20:46,监测1,0,0,0,0.49,11.87,34.79,124.14,正常,低风险
2025/12/27 20:41,监测1,0,0,0,0.48,6.76,47.51,124.12,正常,低风险
2025/12/27 20:39,监测1,0,0,0,0.48,11.89,33.55,124.11,正常,低风险
2025/12/27 20:36,监测1,0,0,0,0.48,4.83,35.99,124.1,正常,低风险
2025/12/27 20:33,监测1,0,0,0,0.48,10.36,47.03,124.09,正常,低风险
2025/12/27 20:30,监测1,0,0,0,0.48,6.5,26.09,124.07,正常,低风险
2025/12/27 20:28,监测1,0,0,0,0.48,10.32,51.89,124.06,正常,低风险
2025/12/27 20:25,监测1,0,0,0,0.49,6.38,49.02,124.05,正常,低风险
2025/12/27 20:22,监测1,0,0,0,0.48,7.76,31.22,124.04,正常,低风险
2025/12/27 20:19,监测1,0.01,0.02,0.02,0.5,9.72,130.55,124.02,正常,低风险
2025/12/27 20:17,监测1,0.02,0.03,0.03,0.5,13.85,105.79,124.01,正常,低风险
2025/12/27 20:14,监测1,0,0,0,0.48,9.93,61.63,124,正常,低风险
2025/12/27 20:11,监测1,0,0,0,0.48,8.37,77.25,123.99,正常,低风险
2025/12/27 20:09,监测1,0,0,0,0.48,10.64,20.94,123.97,正常,低风险
2025/12/27 20:06,监测1,0,0,0,0.49,9.8,68.24,123.96,正常,低风险
2025/12/27 20:03,监测1,0,0,0,0.48,6.91,75.35,123.95,正常,低风险
2025/12/27 20:00,监测1,0,0,0,0.48,9.39,59.87,123.94,正常,低风险
2025/12/27 19:58,监测1,0,0,0,0.5,5.25,20.75,123.92,正常,低风险
2025/12/27 19:55,监测1,0,0,0,0.48,6.7,78.46,123.91,正常,低风险
2025/12/27 19:52,监测1,0,0,0,0.48,11.58,53.74,123.9,正常,低风险
2025/12/27 19:49,监测1,0,0,0,0.48,8.42,29.95,123.89,正常,低风险
2025/12/27 19:45,监测1,0,0,0,0.48,7.44,74.6,123.87,正常,低风险
2025/12/27 19:43,监测1,0,0,0,0.48,11.16,60.9,123.86,正常,低风险
2025/12/27 19:40,监测1,0,0,0,0.48,10.35,23.63,123.85,正常,低风险
2025/12/27 19:37,监测1,0,0,0,0.5,10.82,52.19,123.84,正常,低风险
2025/12/27 19:34,监测1,0,0,0,0.48,11.26,35.99,123.82,正常,低风险
2025/12/27 19:32,监测1,0,0,0,0.5,11.63,67.25,123.81,正常,低风险
2025/12/27 19:29,监测1,0,0,0,0.48,8.63,48.77,123.8,正常,低风险
2025/12/27 19:26,监测1,0,0,0,0.48,8.76,62.44,123.79,正常,低风险
2025/12/27 19:23,监测1,0,0,0,0.48,8.68,53.88,123.77,正常,低风险
2025/12/27 19:21,监测1,0,0,0,0.48,7.74,63.76,123.76,正常,低风险
2025/12/27 19:18,监测1,0,0,0,0.48,5.03,44.93,123.75,正常,低风险
2025/12/27 19:15,监测1,0,0,0,0.48,11.06,20.06,123.74,正常,低风险
2025/12/27 19:12,监测1,0,0,0,0.49,7.85,72.48,123.72,正常,低风险
2025/12/27 19:10,监测1,0,0,0,0.48,6.1,29.57,123.71,正常,低风险
2025/12/27 19:07,监测1,0,0,0,0.48,10.61,58.11,123.7,正常,低风险
2025/12/27 19:04,监测1,0,0,0,0.48,7.82,57.01,123.69,正常,低风险
2025/12/27 19:01,监测1,0,0,0,0.48,10.67,37.35,123.67,正常,低风险
2025/12/27 18:59,监测1,0,0,0,0.48,4.8,23.98,123.66,正常,低风险
2025/12/27 18:56,监测1,0,0,0,0.5,6.51,69.2,123.65,正常,低风险
2025/12/27 18:53,监测1,0,0,0,0.48,9.98,71.71,123.64,正常,低风险
2025/12/27 18:49,监测1,0,0,0,0.48,11.63,23.39,123.62,正常,低风险
2025/12/27 18:46,监测1,0,0,0,0.48,6.71,75.14,123.61,正常,低风险
2025/12/27 18:44,监测1,0,0,0,0.48,11.78,63.01,123.6,正常,低风险
2025/12/27 18:41,监测1,0,0,0,0.49,12.14,70.61,123.59,正常,低风险
2025/12/27 18:38,监测1,0,0,0,0.49,7.23,71.08,123.57,正常,低风险
2025/12/27 18:35,监测1,0.15,0.25,0.26,0.5,12.95,101.42,123.56,正常,低风险
2025/12/27 18:33,监测1,0,0,0,0.48,9.6,45.92,123.55,正常,低风险
2025/12/27 18:30,监测1,0,0,0,0.48,6.17,50.9,123.54,正常,低风险
2025/12/27 18:27,监测1,0,0,0,0.48,8.69,53.72,123.52,正常,低风险
2025/12/27 18:24,监测1,0,0,0,0.48,6.95,66.49,123.51,正常,低风险
2025/12/27 18:22,监测1,0,0,0,0.49,10.34,73.3,123.5,正常,低风险
2025/12/27 18:19,监测1,0,0,0,0.48,11.46,36.84,123.49,正常,低风险
2025/12/27 18:16,监测1,0,0,0,0.48,8.42,47.17,123.47,正常,低风险
2025/12/27 18:13,监测1,0,0,0,0.48,5.89,50.14,123.46,正常,低风险
2025/12/27 18:11,监测1,0,0,0,0.48,9.14,69.85,123.45,正常,低风险
2025/12/27 18:08,监测1,0.06,0.1,0.1,0.52,9.13,138.37,123.44,正常,低风险
2025/12/27 18:05,监测1,0,0,0,0.48,6.97,57.29,123.42,正常,低风险
2025/12/27 18:02,监测1,0,0,0,0.48,7.82,37.99,123.41,正常,低风险
2025/12/27 18:00,监测1,0,0,0,0.48,10.08,69.05,123.4,正常,低风险
2025/12/27 17:56,监测1,0.01,0.02,0.02,0.51,8.73,108.17,123.39,正常,低风险
2025/12/27 17:53,监测1,0,0,0,0.48,6.64,36.79,123.37,正常,低风险
2025/12/27 17:50,监测1,0,0,0,0.48,11.82,30.99,123.36,正常,低风险
2025/12/27 17:47,监测1,0,0,0,0.48,6.94,23.16,123.35,正常,低风险
2025/12/27 17:45,监测1,0,0,0,0.48,7.58,31.66,123.34,正常,低风险
2025/12/27 17:42,监测1,0,0,0,0.48,6.51,33.02,123.32,正常,低风险
2025/12/27 17:39,监测1,0,0,0,0.48,8.71,39.74,123.31,正常,低风险
2025/12/27 17:36,监测1,0,0,0,0.5,7.44,70.33,123.3,正常,低风险
2025/12/27 17:34,监测1,0,0,0,0.48,10.09,70.52,123.29,正常,低风险
2025/12/27 17:31,监测1,0,0,0,0.48,11.48,58.93,123.27,正常,低风险
2025/12/27 17:28,监测1,0,0,0,0.48,10.42,52.06,123.26,正常,低风险
2025/12/27 17:25,监测1,0,0,0,0.49,9.63,24.61,123.25,正常,低风险
2025/12/27 17:23,监测1,0,0,0,0.49,9.15,73.52,123.24,正常,低风险
2025/12/27 17:20,监测1,0,0,0,0.48,8.76,68.57,123.22,正常,低风险
2025/12/27 17:17,监测1,0,0,0,0.48,11.02,41.94,123.21,正常,低风险
2025/12/27 17:14,监测1,0,0,0,0.5,10.56,33.45,123.2,正常,低风险
2025/12/27 17:12,监测1,0,0,0,0.49,11.05,34.66,123.19,正常,低风险
2025/12/27 17:09,监测1,0,0,0,0.48,7.19,31.74,123.17,正常,低风险
2025/12/27 17:06,监测1,0,0,0,0.48,7.84,67.56,123.16,正常,低风险
2025/12/27 17:03,监测1,0,0,0,0.48,7.18,19.54,123.15,正常,低风险
2025/12/27 16:59,监测1,0,0,0,0.48,8.01,72.3,123.14,正常,低风险
2025/12/27 16:57,监测1,0.11,0.18,0.19,0.5,13.15,95.52,123.12,正常,低风险
2025/12/27 16:54,监测1,0,0,0,0.48,7.16,20.16,123.11,正常,低风险
2025/12/27 16:51,监测1,0,0,0,0.49,7.17,43.16,123.1,正常,低风险
2025/12/27 16:48,监测1,0,0,0,0.48,10.34,73.34,123.09,正常,低风险
2025/12/27 16:46,监测1,0,0,0,0.49,12.03,58.56,123.07,正常,低风险
2025/12/27 16:43,监测1,0,0,0,0.48,10.69,45.44,123.06,正常,低风险
2025/12/27 16:40,监测1,0,0,0,0.49,9.22,24.94,123.05,正常,低风险
2025/12/27 16:37,监测1,0,0,0,0.49,5.45,79.06,123.04,正常,低风险
2025/12/27 16:35,监测1,0,0,0,0.48,11.81,66.75,123.02,正常,低风险
2025/12/27 16:32,监测1,0,0,0,0.49,9.58,26.16,123.01,正常,低风险
2025/12/27 16:29,监测1,0,0,0,0.5,10.28,26.4,123,正常,低风险
2025/12/27 16:26,监测1,0,0,0,0.48,8.16,75.98,122.99,正常,低风险
2025/12/27 16:24,监测1,0,0,0,0.5,6.87,68.45,122.97,正常,低风险
2025/12/27 16:21,监测1,0,0,0,0.48,9.35,66.34,122.96,正常,低风险
2025/12/27 16:18,监测1,0,0,0,0.5,4.96,64.6,122.95,正常,低风险
2025/12/27 16:15,监测1,0,0,0,0.49,11.44,62.14,122.94,正常,低风险
2025/12/27 16:13,监测1,0,0,0,0.49,5.99,48,122.92,正常,低风险
2025/12/27 16:10,监测1,0,0,0,0.48,9.5,60.8,122.91,正常,低风险
2025/12/27 16:07,监测1,0,0,0,0.48,11.29,45.64,122.9,正常,低风险
2025/12/27 16:03,监测1,0,0,0,0.48,6.51,38.88,122.89,正常,低风险
2025/12/27 16:00,监测1,0,0,0,0.5,7.16,55.85,122.87,正常,低风险
2025/12/27 15:58,监测1,0,0,0,0.49,11.14,33.94,122.86,正常,低风险
2025/12/27 15:55,监测1,0.01,0.02,0.02,0.5,10.45,99.43,122.85,正常,低风险
2025/12/27 15:52,监测1,0,0,0,0.49,12.04,42.19,122.84,正常,低风险
2025/12/27 15:49,监测1,0,0,0,0.48,8.4,32.67,122.82,正常,低风险
2025/12/27 15:47,监测1,0,0,0,0.48,9.82,38.38,122.81,正常,低风险
2025/12/27 15:44,监测1,0.08,0.13,0.13,0.5,11.23,157.92,122.8,正常,低风险
2025/12/27 15:41,监测1,0,0,0,0.48,7.04,69.51,122.79,正常,低风险
2025/12/27 15:38,监测1,0,0,0,0.48,5.61,42.92,122.77,正常,低风险
2025/12/27 15:36,监测1,0.03,0.05,0.05,0.51,12.99,100.79,122.76,正常,低风险
2025/12/27 15:33,监测1,0.01,0.02,0.02,0.5,13.11,116.59,122.75,正常,低风险
2025/12/27 15:30,监测1,0.01,0.02,0.02,0.51,8.69,137.26,122.74,正常,低风险
2025/12/27 15:27,监测1,0,0,0,0.48,10.83,20.4,122.72,正常,低风险
2025/12/27 15:25,监测1,0,0,0,0.48,10.42,34.52,122.71,正常,低风险
2025/12/27 15:22,监测1,0,0,0,0.48,6.07,47.73,122.7,正常,低风险
2025/12/27 15:19,监测1,0,0,0,0.49,5.01,78.96,122.69,正常,低风险
2025/12/27 15:16,监测1,0,0,0,0.48,10.31,56.15,122.67,正常,低风险
2025/12/27 15:14,监测1,0,0,0,0.5,9.36,29.22,122.66,正常,低风险
2025/12/27 15:11,监测1,0,0,0,0.48,10.79,69.68,122.65,正常,低风险
2025/12/27 15:07,监测1,0,0,0,0.48,8.72,43.47,122.64,正常,低风险
2025/12/27 15:04,监测1,0,0,0,0.48,6.31,45.72,122.62,正常,低风险
2025/12/27 15:01,监测1,0,0,0,0.48,8.2,75.48,122.61,正常,低风险
2025/12/27 14:59,监测1,0,0,0,0.49,9.56,72.26,122.6,正常,低风险
2025/12/27 14:56,监测1,0,0,0,0.48,9.34,51.99,122.59,正常,低风险
2025/12/27 14:53,监测1,0,0,0,0.5,7.83,21.86,122.57,正常,低风险
2025/12/27 14:50,监测1,0,0,0,0.49,8.41,43.6,122.56,正常,低风险
2025/12/27 14:48,监测1,0,0,0,0.49,5.03,39.2,122.55,正常,低风险
2025/12/27 14:45,监测1,0,0,0,0.48,8.62,58.55,122.54,正常,低风险
2025/12/27 14:42,监测1,0,0,0,0.48,9.06,23.39,122.52,正常,低风险
2025/12/27 14:39,监测1,0,0,0,0.48,11.18,64.4,122.51,正常,低风险
2025/12/27 14:37,监测1,0,0,0,0.49,5.02,50.99,122.5,正常,低风险
2025/12/27 14:34,监测1,0,0,0,0.48,9.22,51.9,122.49,正常,低风险
2025/12/27 14:31,监测1,0,0,0,0.5,10.68,78.29,122.47,正常,低风险
2025/12/27 14:28,监测1,0,0,0,0.49,6.2,37.68,122.46,正常,低风险
2025/12/27 14:26,监测1,0,0,0,0.5,10.86,20.58,122.45,正常,低风险
2025/12/27 14:23,监测1,0,0,0,0.49,10.11,72.67,122.44,正常,低风险
2025/12/27 14:20,监测1,0,0,0,0.48,7.71,77.03,122.42,正常,低风险
2025/12/27 14:17,监测1,0,0,0,0.48,6.25,49.87,122.41,正常,低风险
2025/12/27 14:15,监测1,0,0,0,0.49,11.18,50.28,122.4,正常,低风险
2025/12/27 14:11,监测1,0,0,0,0.48,6.25,55.49,122.39,正常,低风险
2025/12/27 14:08,监测1,0,0,0,0.5,6.98,51.08,122.37,正常,低风险
2025/12/27 14:05,监测1,0,0,0,0.48,6.19,24.98,122.36,正常,低风险
2025/12/27 14:02,监测1,0,0,0,0.48,8.63,29.6,122.35,正常,低风险
2025/12/27 14:00,监测1,0,0,0,0.48,5.16,27.62,122.34,正常,低风险
2025/12/27 13:57,监测1,0,0,0,0.49,5.01,61.38,122.32,正常,低风险
2025/12/27 13:54,监测1,0,0,0,0.48,8.66,51.93,122.31,正常,低风险
2025/12/27 13:51,监测1,0,0,0,0.5,8.93,27.41,122.3,正常,低风险
2025/12/27 13:49,监测1,0,0,0,0.48,10.62,42.83,122.29,正常,低风险
2025/12/27 13:46,监测1,0,0,0,0.49,7.36,65.67,122.27,正常,低风险
2025/12/27 13:43,监测1,0,0,0,0.48,8.78,66.67,122.26,正常,低风险
2025/12/27 13:40,监测1,0,0,0,0.48,5.12,54.61,122.25,正常,低风险
2025/12/27 13:38,监测1,0,0,0,0.48,11.98,34.86,122.24,正常,低风险
2025/12/27 13:35,监测1,0,0,0,0.48,6.72,40.85,122.22,正常,低风险
2025/12/27 13:32,监测1,0,0,0,0.48,9.19,75.82,122.21,正常,低风险
2025/12/27 13:29,监测1,0,0,0,0.49,9.87,67.67,122.2,正常,低风险
2025/12/27 13:27,监测1,0,0,0,0.49,8.14,51.09,122.19,正常,低风险
2025/12/27 13:24,监测1,0,0,0,0.48,11.89,29.06,122.17,正常,低风险
2025/12/27 13:21,监测1,0,0,0,0.48,5.57,32.09,122.16,正常,低风险
2025/12/27 13:18,监测1,0,0,0,0.48,7.03,36.17,122.15,正常,低风险
2025/12/27 13:14,监测1,0,0,0,0.48,5.93,23.26,122.14,正常,低风险
2025/12/27 13:12,监测1,0,0,0,0.5,9.71,35.92,122.12,正常,低风险
2025/12/27 13:09,监测1,0,0,0,0.48,10.07,29.33,122.11,正常,低风险
2025/12/27 13:06,监测1,0,0,0,0.49,11.52,45.45,122.1,正常,低风险
2025/12/27 13:03,监测1,0,0,0,0.48,8.89,54.59,122.09,正常,低风险
2025/12/27 13:01,监测1,0,0,0,0.49,10.73,45.89,122.07,正常,低风险
2025/12/27 12:58,监测1,0,0,0,0.48,10.33,75.52,122.06,正常,低风险
2025/12/27 12:55,监测1,0,0,0,0.49,12.01,66.51,122.05,正常,低风险
2025/12/27 12:52,监测1,0,0,0,0.48,9.2,37.15,122.04,正常,低风险
2025/12/27 12:50,监测1,0,0,0,0.48,6.61,57.44,122.02,正常,低风险
2025/12/27 12:47,监测1,0,0,0,0.48,11.93,47.22,122.01,正常,低风险
2025/12/27 12:44,监测1,0,0,0,0.48,6.57,42.01,122,正常,低风险
2025/12/27 12:41,监测1,0,0,0,0.48,7.36,78.06,121.99,正常,低风险
2025/12/27 12:39,监测1,0,0,0,0.48,9.76,59.23,121.97,正常,低风险
2025/12/27 12:36,监测1,0,0,0,0.48,10.71,47.38,121.96,正常,低风险
2025/12/27 12:33,监测1,0.01,0.02,0.02,0.51,12.06,153.26,121.95,正常,低风险
2025/12/27 12:30,监测1,0,0,0,0.48,11.79,45.15,121.94,正常,低风险
2025/12/27 12:28,监测1,0,0,0,0.48,11.75,68.43,121.92,正常,低风险
2025/12/27 12:25,监测1,0,0,0,0.5,6.98,77.9,121.91,正常,低风险
2025/12/27 12:22,监测1,0,0,0,0.48,5.9,49.95,121.9,正常,低风险
2025/12/27 12:18,监测1,0,0,0,0.49,6.12,36.07,121.89,正常,低风险
2025/12/27 12:15,监测1,0,0,0,0.5,4.97,67.7,121.87,正常,低风险
2025/12/27 12:13,监测1,0,0,0,0.48,8.79,25.77,121.86,正常,低风险
2025/12/27 12:10,监测1,0,0,0,0.48,6.48,32.88,121.85,正常,低风险
2025/12/27 12:07,监测1,0,0,0,0.48,9.98,49.11,121.84,正常,低风险
2025/12/27 12:04,监测1,0,0,0,0.48,5.36,59.11,121.82,正常,低风险
2025/12/27 12:02,监测1,0,0,0,0.48,6.32,60.03,121.81,正常,低风险
2025/12/27 11:59,监测1,0,0,0,0.49,10.51,21.13,121.8,正常,低风险
2025/12/27 11:56,监测1,0,0,0,0.48,8.79,46.98,121.79,正常,低风险
2025/12/27 11:53,监测1,0,0,0,0.5,5.54,38.46,121.77,正常,低风险
2025/12/27 11:51,监测1,0,0,0,0.48,10.83,42.21,121.76,正常,低风险
2025/12/27 11:48,监测1,0,0,0,0.48,10.24,64.35,121.75,正常,低风险
2025/12/27 11:45,监测1,0,0,0,0.49,8.85,59.21,121.74,正常,低风险
2025/12/27 11:42,监测1,0,0,0,0.48,10.79,50.41,121.72,正常,低风险
2025/12/27 11:40,监测1,0,0,0,0.5,9.24,49.56,121.71,正常,低风险
2025/12/27 11:37,监测1,0.01,0.02,0.02,0.51,10.07,89.37,121.7,正常,低风险
2025/12/27 11:34,监测1,0,0,0,0.48,10.9,31.36,121.69,正常,低风险
2025/12/27 11:32,监测1,0,0,0,0.48,6.69,42.41,121.67,正常,低风险
2025/12/27 11:29,监测1,0,0,0,0.48,9.87,69.98,121.66,正常,低风险
2025/12/27 11:25,监测1,0,0,0,0.48,5.06,42.37,121.65,正常,低风险
2025/12/27 11:22,监测1,0,0,0,0.49,8.7,24.01,121.64,正常,低风险
2025/12/27 11:19,监测1,0,0,0,0.48,5.47,66.32,121.62,正常,低风险
2025/12/27 11:16,监测1,0,0,0,0.5,6.5,78.56,121.61,正常,低风险
2025/12/27 11:14,监测1,0,0,0,0.48,10.75,56.95,121.6,正常,低风险
2025/12/27 11:11,监测1,0,0,0,0.5,8.64,74.73,121.59,正常,低风险
2025/12/27 11:08,监测1,0,0,0,0.48,10.5,70.44,121.57,正常,低风险
2025/12/27 11:06,监测1,0,0,0,0.48,8.49,24.1,121.56,正常,低风险
2025/12/27 11:03,监测1,0,0,0,0.48,11.69,70.5,121.55,正常,低风险
2025/12/27 11:00,监测1,0,0,0,0.48,10.42,20.73,121.54,正常,低风险
2025/12/27 10:57,监测1,0,0,0,0.5,7.62,26.66,121.52,正常,低风险
2025/12/27 10:55,监测1,0,0,0,0.48,12.13,20.85,121.51,正常,低风险
2025/12/27 10:52,监测1,0,0,0,0.48,5.22,76.67,121.5,正常,低风险
2025/12/27 10:49,监测1,0.03,0.05,0.05,0.5,12.92,156.3,121.49,正常,低风险
2025/12/27 10:46,监测1,0,0,0,0.48,9.97,40.96,121.47,正常,低风险
2025/12/27 10:44,监测1,0,0,0,0.48,8.42,35.25,121.46,正常,低风险
2025/12/27 10:41,监测1,0,0,0,0.48,6.27,69.53,121.45,正常,低风险
2025/12/27 10:38,监测1,0,0,0,0.48,4.95,67.73,121.44,正常,低风险
2025/12/27 10:35,监测1,0,0,0,0.48,8.29,61.95,121.42,正常,低风险
2025/12/27 10:33,监测1,0,0,0,0.49,6.82,47.48,121.41,正常,低风险
2025/12/27 10:29,监测1,0,0,0,0.48,7.27,23.3,121.4,正常,低风险
2025/12/27 10:26,监测1,0,0,0,0.5,12.36,74.91,121.39,正常,低风险
2025/12/27 10:23,监测1,0,0,0,0.49,5.92,25.9,121.37,正常,低风险
2025/12/27 10:20,监测1,0,0,0,0.49,8.2,29.2,121.36,正常,低风险
2025/12/27 10:18,监测1,0,0,0,0.48,8.54,31.3,121.35,正常,低风险
2025/12/27 10:15,监测1,0,0,0,0.48,7.77,25.13,121.34,正常,低风险
2025/12/27 10:12,监测1,0,0,0,0.48,11.97,73.19,121.32,正常,低风险
2025/12/27 10:09,监测1,0,0,0,0.48,10.85,38.05,121.31,正常,低风险
2025/12/27 10:07,监测1,0,0,0,0.48,11.83,27.05,121.3,正常,低风险
2025/12/27 10:04,监测1,0,0,0,0.5,6.36,23.64,121.29,正常,低风险
2025/12/27 10:01,监测1,0.14,0.23,0.22,0.5,11.9,140.02,121.27,正常,低风险
2025/12/27 9:58,监测1,0,0,0,0.48,8.18,76.11,121.26,正常,低风险
2025/12/27 9:56,监测1,0,0,0,0.48,11.31,72.65,121.25,正常,低风险
2025/12/27 9:53,监测1,0.01,0.02,0.02,0.5,10.94,89.22,121.24,正常,低风险
2025/12/27 9:50,监测1,0,0,0,0.49,10.92,53.97,121.22,正常,低风险
2025/12/27 9:47,监测1,0,0,0,0.5,5.47,53.59,121.21,正常,低风险
2025/12/27 9:45,监测1,0,0,0,0.49,11.75,58.27,121.2,正常,低风险
2025/12/27 9:42,监测1,0,0,0,0.48,5.43,73.24,121.19,正常,低风险
2025/12/27 9:39,监测1,0,0,0,0.48,8.44,25.88,121.17,正常,低风险
2025/12/27 9:36,监测1,0,0,0,0.48,6.29,44.66,121.16,正常,低风险
2025/12/27 9:32,监测1,0,0,0,0.48,5.53,52.67,121.15,正常,低风险
2025/12/27 9:30,监测1,0,0,0,0.48,8.63,47.42,121.14,正常,低风险
2025/12/27 9:27,监测1,0,0,0,0.49,10.12,25.86,121.12,正常,低风险
2025/12/27 9:24,监测1,0,0,0,0.48,9.2,21.12,121.11,正常,低风险
